id,name,first_name,last_name,nationality,birthdate,nickname,ground
83,Arsenal,Arsene,Wenger,French,22/10/1949,The Gunners,Emirates Stadium
84,Aston Villa,Paul ,Lambert,Scottish,7/8/1969,,
85,Chelsea,Roberto,Di Matteo,Italy,29/5/1970,,Stamford Bridge
86,Everton,David,Moyes,Scottish,25/4/1963,The Toffees,Goodison Park
87,Fulham,Martin,Jol,Dutch,16/1/1956,,Craven Cottage
88,Liverpool,Brendan,Rodgers,Northern Irish,26/1/1973,The Kop,Anfield
89,Man City,Roberto,Mancini,Italy,27/11/1964,,Etihad Stadium
90,Man Utd,Alex,Ferguson,Scottish,31/12/1941,The Red Devils,Old Trafford
91,Newcastle,Alan,Pardew,English,18/7/1961,,Sports Direct Arena
92,Norwich,Chris,Hughton,English,11/12/1958,,
93,QPR,Mark,Hughes,Welsh,11/11/1963,,
94,Reading,Brian,McDermott,English,8/4/1961,,
95,Southampton,Nigel,Adkins,English,11/3/1965,,St Mary's Stadium
96,Stoke,Tony,Pulis,Welsh,16/1/1958,The Potters,Britannia Stadium
97,Sunderland,Martin,O'Neill,Northern Irish,1/3/1952,,Stadium of Light
98,Swansea,Michael,Laudrup,Dutch,15/6/1964,The Swans,Liberty Stadium
99,Tottenham,Andre,Villas-Boas,Portuguese,17/10/1977,,
100,West Brom ,Steve,Clarke,Scottish,29/8/1963,,The Hawthorns
101,West Ham ,Sam,Allardyce,English,19/10/1954,,
102,Wigan ,Roberto,Martinez,Spanish,13/7/1973,,
